Having run the script on the test database, let's see how it does with PRV's observations....

mysql> SELECT name, band, JD, unique_id, timeseries FROM temp_observations WHERE obscode="PRV" ORDER BY name, band, JD;
+-----------------------+------+---------------+------------+------------+
| name                  | band | JD            | unique_id  | timeseries |
+-----------------------+------+---------------+------------+------------+
| AH HER                | 2    | 2456829.76212 | 1264755153 |       NULL |
| AH HER                | 2    | 2457112.97475 | 1267482735 |       NULL |
| AH HER                | 2    | 2457113.96212 | 1267488384 |       NULL |
| AH HER                | 2    | 2457114.96076 | 1267492787 |       NULL |
| AH HER                | 2    | 2457118.96763 | 1267514513 |       NULL |
| AH HER                | 2    | 2457122.96076 | 1267543379 |       NULL |
| AH HER                | 2    | 2457123.96104 | 1267595142 |       NULL |
| AH HER                | 2    | 2457127.95527 | 1267595116 |       NULL |
| AH HER                | 2    | 2457129.95278 | 1267595115 |       NULL |
| AH HER                | 2    | 2457130.95544 | 1267603026 |       NULL |
| AH HER                | 2    | 2457132.95440 | 1267610618 |       NULL |
| AH HER                | 2    | 2457133.95405 | 1267613510 |       NULL |
| AH HER                | 2    | 2457134.94740 | 1267629309 |       NULL |
| AH HER                | 2    | 2457135.95031 | 1267629303 |       NULL |
| AH HER                | 2    | 2457137.94642 | 1267634501 |       NULL |
| AH HER                | 2    | 2457141.94450 | 1267656604 |       NULL |
| AH HER                | 2    | 2457142.93928 | 1267656592 |       NULL |
| AH HER                | 2    | 2457143.94174 | 1267660506 |       NULL |
| AH HER                | 2    | 2457144.94384 | 1267673578 |       NULL |
| AH HER                | 2    | 2457150.92738 | 1267700586 |       NULL |
| AH HER                | 2    | 2457151.92506 | 1267710958 |       NULL |
| AH HER                | 2    | 2457153.91905 | 1267750128 |       NULL |
| AH HER                | 2    | 2457160.91909 | 1267750110 |       NULL |
| AH HER                | 2    | 2457162.88381 | 1267764642 |       NULL |
| AH HER                | 2    | 2457165.91971 | 1267771581 |       NULL |
| AH HER                | 2    | 2457167.91385 | 1268000295 |       NULL |
| AH HER                | 2    | 2457169.91142 | 1268000286 |       NULL |
| AH HER                | 2    | 2457170.91302 | 1268000277 |       NULL |
| AH HER                | 2    | 2457171.91252 | 1268000267 |       NULL |
| AH HER                | 2    | 2457176.90786 | 1268101628 |       NULL |
| AH HER                | 2    | 2457177.90840 | 1268101616 |       NULL |
| AH HER                | 2    | 2457184.90181 | 1268104313 |       NULL |
| AH HER                | 2    | 2457185.90147 | 1268104306 |       NULL |
| AH HER                | 2    | 2457186.90109 | 1268104295 |       NULL |
| AH HER                | 2    | 2457187.90152 | 1268104284 |       NULL |
| AH HER                | 2    | 2457190.90142 | 1268104274 |       NULL |
| AH HER                | 2    | 2457194.93002 | 1268104226 |       NULL |
| AH HER                | 2    | 2457195.90185 | 1268104216 |       NULL |
| AH HER                | 2    | 2457202.90186 | 1268104198 |       NULL |
| AH HER                | 2    | 2457204.89094 | 1268104147 |       NULL |
| AH HER                | 2    | 2457205.89081 | 1268104157 |       NULL |
| AH HER                | 2    | 2457216.87672 | 1268104166 |       NULL |
| AH HER                | 2    | 2457218.87428 | 1268104172 |       NULL |
| AH HER                | 2    | 2457221.87038 | 1268104178 |       NULL |
| AH HER                | 2    | 2457550.93281 | 1270665331 |       NULL |
| AH HER                | 2    | 2457554.87684 | 1270697152 |       NULL |
| AH HER                | 2    | 2457557.87706 | 1270697147 |       NULL |
| AH HER                | 2    | 2457561.87741 | 1270708446 |       NULL |
| AH HER                | 2    | 2457569.87652 | 1270756085 |       NULL |
| AH HER                | 2    | 2457570.87723 | 1270778923 |       NULL |
| AH HER                | 2    | 2457572.87771 | 1270778916 |       NULL |
| AH HER                | 2    | 2457573.87780 | 1270778909 |       NULL |
| AH HER                | 2    | 2457575.87696 | 1270812517 |       NULL |
| AH HER                | 2    | 2457579.87727 | 1270824925 |       NULL |
| AH HER                | 2    | 2457580.88081 | 1270829263 |       NULL |
| AH HER                | 2    | 2457582.81469 | 1270896081 |       NULL |
| AH HER                | 2    | 2457589.84571 | 1270935605 |       NULL |
| AH HER                | 2    | 2457590.83532 | 1270935599 |       NULL |
| AH HER                | 2    | 2457594.84122 | 1270968589 |       NULL |
| AH HER                | 2    | 2457598.83836 | 1271014196 |       NULL |
| AH HER                | 2    | 2457600.83560 | 1271090939 |       NULL |
| AH HER                | 2    | 2457604.83884 | 1271169610 |       NULL |
| AH HER                | 2    | 2457607.83579 | 1271169598 |       NULL |
| AH HER                | 2    | 2457635.64948 | 1271339816 |       NULL |
| AH HER                | 2    | 2457637.64742 | 1271339804 |       NULL |
| AH HER                | 2    | 2457640.64723 | 1271405864 |       NULL |
